etapa,piloto,equipe,posicao,posicao_largada,voltas
1,Gabriel Casagrande,A.Mattheis Vogel,1,2,30
1,Daniel Serra,Eurofarma RC,2,1,30
1,Thiago Camilo,Ipiranga Racing,3,3,30
1,Felipe Fraga,Red Bull Racing BR,4,4,30
1,Ricardo Mauricio,Eurofarma RC,5,6,30
1,Ricardo Zonta,RCM Motorsport,6,5,30
1,Rubens Barrichello,Full Time Sports,7,7,30
1,Cesar Ramos,Ipiranga Racing,8,9,30
1,Felipe Massa,Lubrax Podium Stock,9,8,30
1,Julio Campos,Pole Motorsport,10,10,30
2,Daniel Serra,Eurofarma RC,1,3,30
2,Gabriel Casagrande,A.Mattheis Vogel,2,1,30
2,Felipe Fraga,Red Bull Racing BR,3,2,30
2,Thiago Camilo,Ipiranga Racing,4,4,30
2,Ricardo Zonta,RCM Motorsport,5,7,30
2,Ricardo Mauricio,Eurofarma RC,6,5,30
2,Cesar Ramos,Ipiranga Racing,7,6,30
2,Felipe Massa,Lubrax Podium Stock,8,8,30
2,Rubens Barrichello,Full Time Sports,9,10,30
2,Julio Campos,Pole Motorsport,10,9,30
3,Thiago Camilo,Ipiranga Racing,1,1,28
3,Gabriel Casagrande,A.Mattheis Vogel,2,3,28
3,Daniel Serra,Eurofarma RC,3,2,28
3,Ricardo Mauricio,Eurofarma RC,4,4,28
3,Felipe Massa,Lubrax Podium Stock,5,6,28
3,Felipe Fraga,Red Bull Racing BR,6,5,28
3,Rubens Barrichello,Full Time Sports,7,8,28
3,Ricardo Zonta,RCM Motorsport,8,7,28
3,Julio Campos,Pole Motorsport,9,9,28
3,Cesar Ramos,Ipiranga Racing,10,10,28
4,Julio Campos,Pole Motorsport,1,8,25
4,Rubens Barrichello,Full Time Sports,2,6,25
4,Ricardo Zonta,RCM Motorsport,3,5,25
4,Gabriel Casagrande,A.Mattheis Vogel,4,1,25
4,Felipe Fraga,Red Bull Racing BR,5,3,25
4,Daniel Serra,Eurofarma RC,6,2,25
4,Thiago Camilo,Ipiranga Racing,7,4,25
4,Felipe Massa,Lubrax Podium Stock,8,7,25
4,Cesar Ramos,Ipiranga Racing,9,9,25
4,Ricardo Mauricio,Eurofarma RC,10,10,25
5,Gabriel Casagrande,A.Mattheis Vogel,1,2,30
5,Felipe Fraga,Red Bull Racing BR,2,1,30
5,Daniel Serra,Eurofarma RC,3,4,30
5,Thiago Camilo,Ipiranga Racing,4,3,30
5,Ricardo Mauricio,Eurofarma RC,5,5,30
5,Cesar Ramos,Ipiranga Racing,6,6,30
5,Rubens Barrichello,Full Time Sports,7,7,30
5,Ricardo Zonta,RCM Motorsport,8,9,30
5,Felipe Massa,Lubrax Podium Stock,9,8,30
5,Julio Campos,Pole Motorsport,10,10,30
6,Felipe Fraga,Red Bull Racing BR,1,1,30
6,Gabriel Casagrande,A.Mattheis Vogel,2,3,30
6,Daniel Serra,Eurofarma RC,3,2,30
6,Ricardo Mauricio,Eurofarma RC,4,4,30
6,Thiago Camilo,Ipiranga Racing,5,6,30
6,Felipe Massa,Lubrax Podium Stock,6,5,30
6,Ricardo Zonta,RCM Motorsport,7,8,30
6,Cesar Ramos,Ipiranga Racing,8,7,30
6,Rubens Barrichello,Full Time Sports,9,9,30
6,Julio Campos,Pole Motorsport,10,10,30
7,Gabriel Casagrande,A.Mattheis Vogel,1,1,31
7,Thiago Camilo,Ipiranga Racing,2,2,31
7,Felipe Fraga,Red Bull Racing BR,3,5,31
7,Daniel Serra,Eurofarma RC,4,3,31
7,Ricardo Zonta,RCM Motorsport,5,6,31
7,Ricardo Mauricio,Eurofarma RC,6,4,31
7,Julio Campos,Pole Motorsport,7,7,31
7,Cesar Ramos,Ipiranga Racing,8,9,31
7,Felipe Massa,Lubrax Podium Stock,9,8,31
7,Rubens Barrichello,Full Time Sports,10,10,31
8,Daniel Serra,Eurofarma RC,1,2,29
8,Gabriel Casagrande,A.Mattheis Vogel,2,1,29
8,Felipe Fraga,Red Bull Racing BR,3,3,29
8,Thiago Camilo,Ipiranga Racing,4,4,29
8,Ricardo Mauricio,Eurofarma RC,5,6,29
8,Ricardo Zonta,RCM Motorsport,6,5,29
8,Cesar Ramos,Ipiranga Racing,7,7,29
8,Rubens Barrichello,Full Time Sports,8,8,29
8,Julio Campos,Pole Motorsport,9,9,29
8,Felipe Massa,Lubrax Podium Stock,10,10,29
